filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
AS09242025_Ni12_30cm_IDM.Spe,55CO,91.9,6323.118023843319,135.3189343642789,0.0116,0.0009,0.0026483268565939,0.0001080694513208,217533095.1395115,19819334.775477637,128641.68843259108,11720.4818305604,1.2110619759946035,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,57CO,122.06065,12622.189478812605,167.5387695158979,0.856,0.0017,0.002741857853779,5.803400277999667e-05,5683810.888862877,151166.78673013262,3361.21282605729,89.39490640457281,1.236978059236679,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,57NI,127.164,27762.53129411309,211.3622433841609,0.167,0.005,0.0027463409687519,6.267729894279056e-05,63975215.77101424,2487015.7661319342,37832.77100592208,1470.7367038036275,1.236978059236679,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,57CO,136.47356,1613.1259187487688,105.90262491776892,0.1068,0.0008,0.0027358688995906,8.861864294326944e-05,5834791.7328956565,453285.7288443298,3450.4977722623635,268.0577935211885,0.9956157600467532,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,55CO,385.4,1237.8562524909255,70.2071040868556,0.0054,0.0005,0.001228161726495,3.1996514243665246e-05,197262494.41481733,22729522.851892475,116654.34323762111,13441.468274330264,0.7872920229023781,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,55CO,411.5,2349.9955269294883,69.18403347235757,0.0107,0.0008,0.0011550619307159,3.3336730291830055e-05,200956293.81358185,17651285.256112482,118838.73081820334,10438.370937973084,0.7707410122328386,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,55CO,477.2,39700.610126262305,235.7852637978251,0.2019999999999999,0.017,0.0010071113284268,3.4564962231209916e-05,206249049.3672447,18813965.530517593,121968.68679316658,11125.940585758482,1.3765058140975992,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,55CO,520.0,1492.6959275098077,111.4011931757632,0.0083,0.0008,0.0009307449550573,3.3319488654296454e-05,204214318.60663116,26478193.57402232,120765.41608907816,15658.304892975942,3.791607285701063,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,55CO,803.7,2215.3470694617968,56.83778942905072,0.0187,0.0015,0.0006213609684421,1.5248431950548066e-05,201502214.98425865,18186785.40202951,119161.57006756868,10755.047547031052,0.9684907490779776,09/24/2025 01:28:36,1600.0,1691.0
AS09242025_Ni12_30cm_IDM.Spe,55CO,931.1,76383.27365597116,635.3585762128096,0.75,0.0375,0.0005391788627693,8.165358307045611e-06,199630902.76579615,10585378.810559075,118054.93954216212,6259.833714109448,5.686157730719497,09/24/2025 01:28:36,1600.0,1691.0
