filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
AT09242025_Ni13_25cm_IDM.Spe,55CO,91.9,4814.7897081225565,117.8015369299862,0.0116,0.0009,0.0035523714933189,0.0001327873249859,122113623.19916113,11073480.612515897,73209.60623450906,6638.777345633031,1.169546217861733,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,57CO,122.06065,1226.4012678658655,82.67566370607369,0.856,0.0017,0.0037756134366272,6.1003347864931785e-05,396583.3367107192,29743.58078547625,237.75979419107867,17.831882964913817,0.8306823501108921,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,56NI,158.38,1760.286111173134,103.8757314820906,0.988,0.01,0.0036834656186884,5.732064490879592e-05,505513.61453311035,33512.77244933193,303.06571614694866,20.091590197441207,1.0176439949233709,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,385.4,1096.844141613784,88.1491997517966,0.0054,0.0005,0.0016534956080523,1.2573783968597312e-05,128384109.69288976,16240284.30502998,76968.89070317132,9736.38147783572,1.3891684581574022,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,411.5,1946.0575684957848,73.54596239781867,0.0107,0.0008,0.0015530309253292,1.145683887439581e-05,122392543.79145966,10660485.72833602,73376.82481502378,6391.178494206248,1.0124884034351236,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,477.2,30502.991996637866,165.41839920583692,0.2019999999999999,0.017,0.0013518119090952,9.560365336998995e-06,116744912.09244202,9902589.904108653,69990.95449187171,5936.804498866098,0.8804374571239553,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,520.0,1212.0097332672085,103.55164940402403,0.0083,0.0008,0.0012491486974648,8.811930110879123e-06,122173505.4453065,16145707.822619429,73245.50686169454,9679.680948812607,4.062860801752972,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,803.7,1697.8863702744943,51.53312910168039,0.0187,0.0015,0.0008422936482011,7.61626963559214e-06,112659196.41895492,10093034.852902962,67541.48466364203,6050.980127639666,1.065103868830822,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,56NI,811.85,78.4091578364983,23.589501003733975,0.86,0.009,0.0008346382196771,7.614149759513236e-06,114165.0652792559,36721.045406011,68.44428374056109,22.01501523142146,1.065103868830822,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,931.1,59081.79428349278,515.2265646992091,0.75,0.0375,0.0007367567647061,7.5381326350095425e-06,111745859.410621,5803965.992463166,66993.92050996462,3479.5959187429053,4.8646791836558645,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,984.6,444.3568045472555,31.449357902916574,0.0052,0.001,0.0006992004319943,7.42513084521193e-06,127729132.53993148,26900424.71434507,76576.21854911959,16127.352946250045,1.22923650932397,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,1316.6,4080.300570719553,101.01510911995476,0.071,0.003,0.000531561505118,8.365516208387408e-06,112990893.82639696,6075308.36033659,67740.34402062168,3642.27119924256,1.5662823488353126,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,60CU,1332.5,47.50855609988224,14.106440566768756,0.88,0.044,0.0005255437255572,9.121960622422475e-06,107360.23737640286,35931.86910751129,64.3646507052775,21.54188795414346,1.0400312410844077,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,1370.0,1609.1972479431647,40.38926696312215,0.0289999999999999,0.003,0.0005118650495089,1.144905008905823e-05,113297144.94659948,12643286.901745925,67923.94780971191,7579.908214475974,1.0812694866945898,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,1408.5,8680.72013797761,148.24450263411313,0.1689999999999999,0.008,0.0004985504201358,1.463358030732522e-05,107677043.63227004,6378635.554866301,64554.58251335134,3824.122035291547,1.976020687986907,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,56NI,1561.8,0.9563285134370084,2.071566873668289,0.14,0.006,0.0004519927904455,3.563104940980969e-05,15794.6759687369,37861.108480229355,9.469230197084473,22.69850628311113,1.3499566915188352,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,60CU,1791.6,15.899529672470653,2531.608112957187,0.454,0.023,0.0003970293575682,9.72191265970246e-05,92186.84733793956,14678518.96934104,55.26789408749375,8800.071324544988,1.2121239303600702,09/24/2025 01:58:47,1596.0,1668.0
AT09242025_Ni13_25cm_IDM.Spe,55CO,1792.1,13.890626461251122,2532.1365737465526,0.00082,0.00013,0.0003969250905381,9.739895017306354e-05,44602847.661649525,8130718189.583784,26740.316343914583,4874531.288719295,1.2121239303600702,09/24/2025 01:58:47,1596.0,1668.0
